Period Start,Period End,Total,Period
04/22/2024,05/05/2024,49.0,04/22/2024 to 05/05/2024
05/06/2024,05/19/2024,46.0,05/06/2024 to 05/19/2024
05/20/2024,06/02/2024,50.0,05/20/2024 to 06/02/2024
06/03/2024,06/16/2024,33.0,06/03/2024 to 06/16/2024
06/17/2024,06/30/2024,29.0,06/17/2024 to 06/30/2024
07/01/2024,07/14/2024,37.0,07/01/2024 to 07/14/2024
07/15/2024,07/28/2024,44.0,07/15/2024 to 07/28/2024
07/29/2024,08/11/2024,65.0,07/29/2024 to 08/11/2024
08/12/2024,08/25/2024,72.0,08/12/2024 to 08/25/2024
08/26/2024,09/08/2024,39.0,08/26/2024 to 09/08/2024
09/09/2024,09/22/2024,69.0,09/09/2024 to 09/22/2024
09/23/2024,10/06/2024,41.0,09/23/2024 to 10/06/2024
10/07/2024,10/20/2024,45.0,10/07/2024 to 10/20/2024
10/21/2024,11/03/2024,37.0,10/21/2024 to 11/03/2024
11/04/2024,11/17/2024,26.0,11/04/2024 to 11/17/2024
11/18/2024,12/01/2024,11.0,11/18/2024 to 12/01/2024
12/02/2024,12/15/2024,10.0,12/02/2024 to 12/15/2024
12/16/2024,12/29/2024,7.0,12/16/2024 to 12/29/2024
12/30/2024,12/31/2024,2.0,12/30/2024 to 12/31/2024
